mu,kappa,mean_income,median_income,mean_CE,mean_RP,share_storing,mean_s
0.1,0.75,0.9242032468314803,0.9242992515856299,0.8901398959892884,0.034063350842191926,0.054,0.041214733191889355
0.1,0.8,0.9273765116604306,0.9275418296171751,0.8981321335301147,0.029244378130315808,0.104,0.06101069987717839
0.1,0.85,0.9317444272552777,0.9320961194359352,0.908129787878375,0.023614639376902814,0.164,0.09306777470828362
0.1,0.9,0.9374732062134786,0.9378510423315163,0.9184001040457781,0.019073102167700563,0.242,0.1386639929269076
0.1,0.95,0.9459150468058003,0.9463913581324976,0.9296081633813662,0.016306883424434114,0.37,0.1897868275673296
0.15000000000000002,0.75,0.8830550199395988,0.8830485888380717,0.8575363229459111,0.02551869699368776,0.026,0.012641001257755762
0.15000000000000002,0.8,0.88466862680456,0.8847631934936444,0.8607854516004,0.023883175204160105,0.08,0.03675700812798681
0.15000000000000002,0.85,0.887740759454912,0.8879495380727412,0.8664739952438228,0.021266764211089143,0.144,0.07376462823074273
0.15000000000000002,0.9,0.8930845906535325,0.8933377408042242,0.8749370551974011,0.018147535456131438,0.264,0.14045841407285656
0.15000000000000002,0.95,0.9024602172982832,0.9031290929863258,0.8866955147011586,0.015764702597124657,0.418,0.24282447352025874
0.20000000000000004,0.75,0.8414957791622775,0.8415095835441317,0.8161595638959569,0.025336215266320114,0.014,0.006781058176346847
0.20000000000000004,0.8,0.842563168747379,0.84262474955623,0.8180760462022986,0.024487122545080536,0.082,0.03316750088347437
0.20000000000000004,0.85,0.8459587692430817,0.845986118551788,0.8236527748962588,0.022305994346822944,0.15,0.08618699425430448
0.20000000000000004,0.9,0.852588249886807,0.8528715949980132,0.8337657418815092,0.018822508005297736,0.272,0.16573352005101644
0.20000000000000004,0.95,0.8636290016263868,0.8638969834747531,0.8472138607428044,0.016415140883582233,0.404,0.27705703317452657
0.25000000000000006,0.75,0.8123019377097457,0.8123017189775025,0.7904476181362142,0.021854319573531438,0.002,0.0014746527605546378
0.25000000000000006,0.8,0.8128700344381943,0.8128493559967528,0.7917490951791899,0.021120939259004077,0.07,0.023027919374958548
0.25000000000000006,0.85,0.8156635478144542,0.8156802600004444,0.7963582596454244,0.01930528816902953,0.106,0.06619396900178363
0.25000000000000006,0.9,0.8200579408680501,0.8202334271783496,0.8023981448103279,0.01765979605772204,0.184,0.12692621734427229
0.25000000000000006,0.95,0.8274839033805165,0.8276329598511059,0.8111306714683777,0.01635323191213851,0.342,0.2270102362164367
0.30000000000000004,0.75,0.7781683747806428,0.778187799575006,0.7577936259624977,0.020374748818145442,0.018,0.0008726634737536224
0.30000000000000004,0.8,0.7781709175438248,0.778157210063039,0.7573587070824,0.02081221046142505,0.04,0.0180196993855133
0.30000000000000004,0.85,0.7793221287337786,0.7793615496017641,0.7594399785691489,0.019882150164629714,0.088,0.04925200234882396
0.30000000000000004,0.9,0.7833101970702601,0.7834435201925009,0.7652446759159727,0.018065521154287056,0.328,0.1278219455504328
0.30000000000000004,0.95,0.7925148362128617,0.7929821542099016,0.7766402106913378,0.01587462552152408,0.5,0.2641949688656785
0.3500000000000001,0.75,0.7537986428224676,0.7538003476607607,0.733761731683947,0.020036911138520495,0.012,0.0007601507837720062
0.3500000000000001,0.8,0.7541741621985232,0.7541599692385954,0.7346699871126452,0.019504175085877783,0.024,0.011381959843327395
0.3500000000000001,0.85,0.7558590294997335,0.755932910697996,0.7380891927380915,0.017769836761641747,0.12704,0.0460906726605165
0.3500000000000001,0.9,0.7599160463594614,0.7599302042670836,0.7438495486881351,0.01606649767132638,0.28,0.14673514943127386
0.3500000000000001,0.95,0.7695487458057176,0.7697350558232796,0.7560109129499013,0.013537832855816445,0.418,0.26986712899897813
0.40000000000000013,0.75,0.727187357664492,0.7271867506887222,0.7099993784253716,0.017187979239120573,0.008,0.0011494921825326752
0.40000000000000013,0.8,0.7273378702956255,0.7273390740586666,0.7102109552107752,0.017126915084850328,0.014,0.00995516767144631
0.40000000000000013,0.85,0.7282863030170745,0.7282962524965655,0.7119016586539586,0.01638464436311603,0.096,0.03882496790005191
0.40000000000000013,0.9,0.7314544974805085,0.7314645612044265,0.7164387309389642,0.015015766541544502,0.212,0.1142165936505165
0.40000000000000013,0.95,0.7384124360620687,0.7384105564999193,0.724714011927038,0.013698424135030649,0.394,0.2481111794441682
0.4500000000000001,0.75,0.6977803265689129,0.6977880829123001,0.6821247472917843,0.015655579277128684,0.002,0.000249637214349099
0.4500000000000001,0.8,0.6977412464876533,0.6977393111847239,0.6819219049304135,0.015819341557239863,0.01,0.003218658501482113
0.4500000000000001,0.85,0.6981340467658037,0.6981025854606553,0.6823240952951847,0.015809951470619133,0.094,0.0350317667103309
0.4500000000000001,0.9,0.7012100143864316,0.7011974920931067,0.6868888755750053,0.01432113881142616,0.218,0.12413282959687988
0.4500000000000001,0.95,0.7098729462839262,0.7103123211431932,0.6971470597844703,0.012725886499456026,0.35,0.2562052359467541
0.5000000000000001,0.75,0.6704239722580689,0.6704239722580692,0.6574885142852436,0.012935457972825462,0.0,0.0
0.5000000000000001,0.8,0.6704270149985114,0.6704275268070203,0.6574958129266826,0.012931202071828997,0.002,8.348431321988672e-05
0.5000000000000001,0.85,0.671145490533031,0.6710818880450382,0.6586609242192415,0.012484566313789447,0.058,0.026858405795867357
0.5000000000000001,0.9,0.674055831645223,0.6742797304288315,0.6624458897755388,0.01160994186968412,0.186,0.09568457054493867
0.5000000000000001,0.95,0.6831101652705399,0.6836000566340525,0.67236760279593,0.010742562474609871,0.512,0.2817425934314243
0.5500000000000002,0.75,0.6516616654955472,0.6516616654955469,0.6402900197033752,0.011371645792171753,0.0,0.0
0.5500000000000002,0.8,0.6516465524911887,0.6516531724962877,0.6402618266854583,0.011384725805730635,0.006,0.0005879607675722048
0.5500000000000002,0.85,0.6517156147595551,0.6517153551588374,0.6403551004937771,0.01136051426577799,0.034,0.013189777505061784
0.5500000000000002,0.9,0.6534962826242825,0.6536028893046972,0.6427727908424269,0.010723491781855556,0.25,0.0894167865351521
0.5500000000000002,0.95,0.659539940570349,0.6596008502416583,0.6491629316606833,0.010377008909665711,0.436,0.26308162647079036
0.6000000000000002,0.75,0.6266836554878497,0.6266836554878494,0.6153637838422501,0.011319871645599278,0.0,0.0
0.6000000000000002,0.8,0.6266836554878497,0.6266836554878494,0.6153637838422501,0.011319871645599278,0.0,0.0
0.6000000000000002,0.85,0.6267724865187543,0.626786927308483,0.6154712018946605,0.011301284624093627,0.034,0.009715565129349462
0.6000000000000002,0.9,0.6294530421679252,0.6293680837931289,0.6184763862247667,0.010976655943158364,0.262,0.1285686316627299
0.6000000000000002,0.95,0.6378304168301505,0.6378377545258658,0.6276624359502554,0.010167980879895091,0.428,0.3031784332274659
0.6500000000000001,0.75,0.6109565955152607,0.6109565955152606,0.6015054000173413,0.009451195497919188,0.0,0.0
0.6500000000000001,0.8,0.6109565955152607,0.6109565955152606,0.6015054000173413,0.009451195497919188,0.0,0.0
0.6500000000000001,0.85,0.6109545843390927,0.6109691809327156,0.6015174858638158,0.009437098475276778,0.062,0.003446890341496833
0.6500000000000001,0.9,0.6120569202600443,0.6120072183255523,0.6029027852092745,0.009154135050769792,0.146,0.07478306109562477
0.6500000000000001,0.95,0.6169826644902275,0.6172389865248398,0.6085495755487443,0.00843308894148299,0.346,0.2239742817802442
0.7000000000000002,0.75,0.5912633325340692,0.591263332534069,0.5822334526422503,0.00902987989181863,0.0,0.0
0.7000000000000002,0.8,0.5912633325340692,0.591263332534069,0.5822334526422503,0.00902987989181863,0.0,0.0
0.7000000000000002,0.85,0.5911832166031268,0.5912174361623592,0.5821140171110257,0.009069199492101113,0.03,0.0024616540461247756
0.7000000000000002,0.9,0.5919132150754883,0.5920181300766496,0.5828367380820233,0.009076476993464831,0.148,0.06255589533441226
0.7000000000000002,0.95,0.5991724363093947,0.5991551382093615,0.590740513390374,0.008431922919020694,0.534,0.2786373885802756
0.7500000000000002,0.75,0.5752569019798318,0.5752569019798317,0.5666102830037233,0.008646618976108314,0.0,0.0
0.7500000000000002,0.8,0.5752569019798318,0.5752569019798317,0.5666102830037233,0.008646618976108314,0.0,0.0
0.7500000000000002,0.85,0.5752569019798318,0.5752569019798317,0.5666102830037233,0.008646618976108314,0.0,0.0
0.7500000000000002,0.9,0.5755073959318419,0.5755324312362365,0.5668655676415557,0.008641828290286209,0.088,0.02676364711096987
0.7500000000000002,0.95,0.5795683543089649,0.5795578901618056,0.5707011091657603,0.008867245143204444,0.478,0.29037460172223434
0.8000000000000003,0.75,0.5627169656996289,0.562716965699629,0.5538699107400502,0.008847054959578809,0.0,0.0
0.8000000000000003,0.8,0.5627169656996289,0.562716965699629,0.5538699107400502,0.008847054959578809,0.0,0.0
0.8000000000000003,0.85,0.5627169656996289,0.562716965699629,0.5538699107400502,0.008847054959578809,0.0,0.0
0.8000000000000003,0.9,0.562585328932834,0.5626429062893418,0.5536874679799716,0.008897860952862446,0.2,0.02996065504011423
0.8000000000000003,0.95,0.5661373244399259,0.5663362489419289,0.5570679810420018,0.00906934339792398,0.41,0.25842507297850315
0.8500000000000003,0.75,0.5427983293669429,0.5427983293669428,0.5360261423794356,0.006772186987507212,0.0,0.0
0.8500000000000003,0.8,0.5427983293669429,0.5427983293669428,0.5360261423794356,0.006772186987507212,0.0,0.0
0.8500000000000003,0.85,0.5427983293669429,0.5427983293669428,0.5360261423794356,0.006772186987507212,0.0,0.0
0.8500000000000003,0.9,0.5427983293669429,0.5427983293669428,0.5360261423794356,0.006772186987507212,0.0,0.0
0.8500000000000003,0.95,0.546215126433339,0.5463899521179654,0.5386603995940432,0.007554726839295875,0.392,0.21648231542954918
0.9000000000000002,0.75,0.530326138971475,0.530326138971475,0.5232661971923788,0.007059941779096251,0.0,0.0
0.9000000000000002,0.8,0.530326138971475,0.530326138971475,0.5232661971923788,0.007059941779096251,0.0,0.0
0.9000000000000002,0.85,0.530326138971475,0.530326138971475,0.5232661971923788,0.007059941779096251,0.0,0.0
0.9000000000000002,0.9,0.530326138971475,0.530326138971475,0.5232661971923788,0.007059941779096251,0.0,0.0
0.9000000000000002,0.95,0.5306467179878903,0.5305010038547877,0.5234256114223439,0.007221106565546342,0.628,0.16493879519200358
